Class,Name
1,Aaron
1,Ab
1,Abba
1,Abbe
1,Abbey
1,Abbie
1,Abbot
1,Abbott
1,Abby
1,Abdel
1,Abdul
1,Abe
1,Abel
1,Abelard
1,Abeu
1,Abey
1,Abie
1,Abner
1,Abraham
1,Abrahan
1,Abram
1,Abramo
1,Abran
1,Ad
1,Adair
1,Adam
1,Adamo
1,Adams
1,Adan
1,Addie
1,Addison
1,Addy
1,Ade
1,Adelbert
1,Adham
1,Adlai
1,Adler
1,Ado
1,Adolf
1,Adolph
1,Adolphe
1,Adolpho
1,Adolphus
1,Adrian
1,Adriano
1,Adrien
1,Agosto
1,Aguie
1,Aguistin
1,Aguste
1,Agustin
1,Aharon
1,Ahmad
1,Ahmed
1,Ailbert
1,Akim
1,Aksel
1,Al
1,Alain
1,Alair
1,Alan
1,Aland
1,Alano
1,Alanson
1,Alard
1,Alaric
1,Alasdair
1,Alastair
1,Alasteir
1,Alaster
1,Alberik
1,Albert
1,Alberto
1,Albie
1,Albrecht
1,Alden
1,Aldin
1,Aldis
1,Aldo
1,Aldon
1,Aldous
1,Aldric
1,Aldrich
1,Aldridge
1,Aldus
1,Aldwin
1,Alec
1,Alejandro
1,Alejoa
1,Aleksandr
1,Alessandro
1,Alex
1,Alexander
1,Alexandr
1,Alexandre
1,Alexandro
1,Alexandros
1,Alexei
1,Alexio
1,Alexis
1,Alf
1,Alfie
1,Alfons
1,Alfonse
1,Alfonso
1,Alford
1,Alfred
1,Alfredo
1,Alfy
1,Algernon
1,Ali
1,Alic
1,Alick
1,Alisander
1,Alistair
1,Alister
1,Alix
1,Allan
1,Allard
1,Allayne
1,Allen
1,Alley
1,Alleyn
1,Allie
1,Allin
1,Allister
1,Allistir
1,Allyn
1,Aloin
1,Alon
1,Alonso
1,Alonzo
1,Aloysius
1,Alphard
1,Alphonse
1,Alphonso
1,Alric
1,Aluin
1,Aluino
1,Alva
1,Alvan
1,Alvie
1,Alvin
1,Alvis
1,Alvy
1,Alwin
1,Alwyn
1,Alyosha
1,Amble
1,Ambros
1,Ambrose
1,Ambrosi
1,Ambrosio
1,Ambrosius
1,Amby
1,Amerigo
1,Amery
1,Amory
1,Amos
1,Anatol
1,Anatole
1,Anatollo
1,Ancell
1,Anders
1,Anderson
1,Andie
1,Andonis
1,Andras
1,Andre
1,Andrea
1,Andreas
1,Andrej
1,Andres
1,Andrew
1,Andrey
1,Andris
1,Andros
1,Andrus
1,Andy
1,Ange
1,Angel
1,Angeli
1,Angelico
1,Angelo
1,Angie
1,Angus
1,Ansel
1,Ansell
1,Anselm
1,Anson
1,Anthony
1,Antin
1,Antoine
1,Anton
1,Antone
1,Antoni
1,Antonin
1,Antonino
1,Antonio
1,Antonius
1,Antons
1,Antony
1,Any
1,Ara
1,Araldo
1,Arch
1,Archaimbaud
1,Archambault
1,Archer
1,Archibald
1,Archibaldo
1,Archibold
1,Archie
1,Archy
1,Arel
1,Ari
1,Arie
1,Ariel
1,Arin
1,Ario
1,Aristotle
1,Arlan
1,Arlen
1,Arley
1,Arlin
1,Arman
1,Armand
1,Armando
1,Armin
1,Armstrong
1,Arnaldo
1,Arne
1,Arney
1,Arni
1,Arnie
1,Arnold
1,Arnoldo
1,Arnuad
1,Arny
1,Aron
1,Arri
1,Arron
1,Art
1,Artair
1,Arte
1,Artemas
1,Artemis
1,Artemus
1,Arther
1,Arthur
1,Artie
1,Artur
1,Arturo
1,Artus
1,Arty
1,Arv
1,Arvie
1,Arvin
1,Arvy
1,Asa
1,Ase
1,Ash
1,Ashbey
1,Ashby
1,Asher
1,Ashley
1,Ashlin
1,Ashton
1,Aube
1,Auberon
1,Aubert
1,Aubrey
1,Augie
1,August
1,Augustin
1,Augustine
1,Augusto
1,Augustus
1,Augy
1,Aurthur
1,Austen
1,Austin
1,Ave
1,Averell
1,Averil
1,Averill
1,Avery
1,Avictor
1,Avigdor
1,Avram
1,Avrom
1,Ax
1,Axe
1,Axel
1,Aylmar
1,Aylmer
1,Aymer
1,Bail
1,Bailey
1,Bailie
